index,Unnamed: 0,id,Species,time,inc,NDVIc,Flux,cum5
36398,36399,218A0270,Tilia cordata,2019-08-12 15:00:00,3.6328666231712,0.797745121434595,1.48844043735614,3.388738336809088
36399,36400,218A0270,Tilia cordata,2019-08-12 16:00:00,3.71247527489442,,1.48844043735615,3.4237842055047323
36400,36401,218A0270,Tilia cordata,2019-08-12 17:00:00,3.71247527489442,,,3.4259837713986925
36401,36402,218A0270,Tilia cordata,2019-08-12 18:00:00,3.65817614074211,0.802104313624477,1.0868961358764,3.5176710206772484
36402,36403,218A0270,Tilia cordata,2019-08-12 19:00:00,3.70277473976881,,1.70813697365898,3.493669843626189
36403,36404,218A0270,Tilia cordata,2019-08-12 20:00:00,3.70277473976881,,,3.495837205589277
36404,36405,218A0270,Tilia cordata,2019-08-12 21:00:00,3.71482592752037,0.854451284665047,1.28147709040715,3.4494632304063457
36405,36406,218A0270,Tilia cordata,2019-08-12 22:00:00,3.68313940713751,,0.176366940499489,3.524047551006024
36406,36407,218A0270,Tilia cordata,2019-08-12 23:00:00,3.68313940713751,,,3.5261994042250877
36407,36408,218A0270,Tilia cordata,2019-08-13 00:00:00,3.5815505469568,-1.39400467154056,1.7398360661665e-18,3.573059008192561
36408,36409,218A0270,Tilia cordata,2019-08-13 01:00:00,3.51768384203736,,0.0,3.588503541032001
36409,36410,218A0270,Tilia cordata,2019-08-13 02:00:00,3.51768384203736,,,3.5906256119958515
36410,36411,218A0270,Tilia cordata,2019-08-13 03:00:00,3.46941012437564,-1.39400467154056,0.285425693181039,3.5830813160648627
36411,36412,218A0270,Tilia cordata,2019-08-13 04:00:00,3.47138397451399,-1.39400467154056,0.413985476852557,3.5932478901525684
36412,36413,218A0270,Tilia cordata,2019-08-13 05:00:00,3.47138397451399,,,3.5953653006457795
36413,36414,218A0270,Tilia cordata,2019-08-13 06:00:00,3.50117916320012,-1.39400467154056,0.554735668266722,3.621251613545636
36414,36415,218A0270,Tilia cordata,2019-08-13 07:00:00,3.53223682869095,,0.285425693181039,3.600561502885993
36415,36416,218A0270,Tilia cordata,2019-08-13 08:00:00,3.53223682869095,,,3.6026731882664245
36416,36417,218A0270,Tilia cordata,2019-08-13 09:00:00,3.48269222548535,8.77528569408557,0.554735668266718,3.2343407392922594
36417,36418,218A0270,Tilia cordata,2019-08-13 10:00:00,3.51394036926622,1.02515411658015,0.413985476852557,3.4560634470857745
36418,36419,218A0270,Tilia cordata,2019-08-13 11:00:00,3.51394036926622,,,3.458232941252655
36419,36420,218A0270,Tilia cordata,2019-08-13 12:00:00,3.71775739291478,0.902870671037687,2.34659030875739,3.4894862884113538
36420,36421,218A0270,Tilia cordata,2019-08-13 13:00:00,3.66194916649749,0.831479506036424,2.34659030875739,3.464366686800595
36421,36422,218A0270,Tilia cordata,2019-08-13 14:00:00,3.66194916649749,,,3.466529991363543
36422,36423,218A0270,Tilia cordata,2019-08-13 15:00:00,3.67404678540792,,2.09813082643783,3.4731907946505585
36423,36424,218A0270,Tilia cordata,2019-08-13 16:00:00,3.69007089853307,0.995097680949046,0.707096348052612,3.327668572355007
36424,36425,218A0270,Tilia cordata,2019-08-13 17:00:00,3.69007089853307,,,3.3298862209082762
36425,36426,218A0270,Tilia cordata,2019-08-13 18:00:00,3.68454267661817,0.905026934189202,1.43048817061767,3.3418523277571035
36426,36427,218A0270,Tilia cordata,2019-08-13 19:00:00,3.70755006226301,,0.870822395919922,3.360158967568887
36427,36428,218A0270,Tilia cordata,2019-08-13 20:00:00,3.70755006226301,,,3.3623602995982256
36428,36429,218A0270,Tilia cordata,2019-08-13 21:00:00,3.7161838437362,,0.554735668266722,3.385676631560204
36429,36430,218A0270,Tilia cordata,2019-08-13 22:00:00,3.75961475847883,-1.67243397275134,0.413985476852557,3.5230969475527916
36430,36431,218A0270,Tilia cordata,2019-08-13 23:00:00,3.75961475847883,,,3.5252276959118274
36431,36432,218A0270,Tilia cordata,2019-08-14 00:00:00,3.70763826874352,,0.0751362051095012,3.5106039033209773
36432,36433,218A0270,Tilia cordata,2019-08-14 01:00:00,3.70750133437948,,0.0,3.4816566753870335
36433,36434,218A0270,Tilia cordata,2019-08-14 02:00:00,3.70750133437948,,,3.4838019967303024
36434,36435,218A0270,Tilia cordata,2019-08-14 03:00:00,3.66152922925511,,0.179565103535485,3.446343947532753
36435,36436,218A0270,Tilia cordata,2019-08-14 04:00:00,3.63486981628336,,0.0751362051095055,3.5116450575394342
36436,36437,218A0270,Tilia cordata,2019-08-14 05:00:00,3.63486981628336,,,3.513775252493106
36437,36438,218A0270,Tilia cordata,2019-08-14 06:00:00,3.6380678348081,,0.0751362051095055,3.362231482467681
36438,36439,218A0270,Tilia cordata,2019-08-14 07:00:00,3.63056965114242,-1.40828519795439,0.437270069785081,3.408876616572093
36439,36440,218A0270,Tilia cordata,2019-08-14 08:00:00,3.63056965114242,,,3.4110467857506075
36440,36441,218A0270,Tilia cordata,2019-08-14 09:00:00,3.62664153585715,,0.301238634003609,3.3879697854933077
36441,36442,218A0270,Tilia cordata,2019-08-14 10:00:00,3.55365153966424,,0.301238634003615,3.4022494955272466
36442,36443,218A0270,Tilia cordata,2019-08-14 11:00:00,3.55365153966424,,,3.4044197130129294
36443,36444,218A0270,Tilia cordata,2019-08-14 12:00:00,3.57444766019235,,0.437270069785081,3.3331183103447044
36444,36445,218A0270,Tilia cordata,2019-08-14 13:00:00,3.58257736833988,0.973418027095143,0.586419253092776,3.4066065395209932
36445,36446,218A0270,Tilia cordata,2019-08-14 14:00:00,3.58257736833988,,,3.4087722606490223
36446,36447,218A0270,Tilia cordata,2019-08-14 15:00:00,3.6546440145682,0.871585095660522,1.10851632003948,3.4718184391274107
36447,36448,218A0270,Tilia cordata,2019-08-14 16:00:00,3.70922447654565,0.733333496591907,1.51903680968768,3.3777524178632032
36448,36449,218A0270,Tilia cordata,2019-08-14 17:00:00,3.70922447654565,,,3.3799273774037375
36449,36450,218A0270,Tilia cordata,2019-08-14 18:00:00,3.6744378665695,0.778812167577818,1.98227882116952,3.3705474827649997
36450,36451,218A0270,Tilia cordata,2019-08-14 19:00:00,3.66389053546492,,1.74384570583672,3.3044954733027723
36451,36452,218A0270,Tilia cordata,2019-08-14 20:00:00,3.66389053546492,,,3.306697973935322
36452,36453,218A0270,Tilia cordata,2019-08-14 21:00:00,3.6346083803855,0.845941673630601,1.10851632003948,3.219666490300494
36453,36454,218A0270,Tilia cordata,2019-08-14 22:00:00,3.66393696760195,-7.95783455273758,0.0751362051095012,3.227483290428329
36454,36455,218A0270,Tilia cordata,2019-08-14 23:00:00,3.66393696760195,,,3.2297148119516423
36455,36456,218A0270,Tilia cordata,2019-08-15 00:00:00,3.63715047800404,-1.39400467154056,0.0751362051095012,3.3213055949932992
36456,36457,218A0270,Tilia cordata,2019-08-15 01:00:00,3.62343100101967,-1.39400467154056,0.0751362051095055,3.3700061327195
36457,36458,218A0270,Tilia cordata,2019-08-15 02:00:00,3.62343100101967,,,3.372176222622037
36458,36459,218A0270,Tilia cordata,2019-08-15 03:00:00,3.58429828857877,-1.39400467154056,0.0751362051095055,3.3762207918525893
36459,36460,218A0270,Tilia cordata,2019-08-15 04:00:00,3.55266121744752,-1.39400467154056,0.179565103535485,3.4518825759640004
36460,36461,218A0270,Tilia cordata,2019-08-15 05:00:00,3.55266121744752,,,3.454016322645742
36461,36462,218A0270,Tilia cordata,2019-08-15 06:00:00,3.53379098555047,-1.39400467154056,0.179565103535485,3.3214676909525322
36462,36463,218A0270,Tilia cordata,2019-08-15 07:00:00,3.51294023620597,-1.39400467154056,0.301238634003615,3.4164476566221937
36463,36464,218A0270,Tilia cordata,2019-08-15 08:00:00,3.51294023620597,,,3.418593326786195
36464,36465,218A0270,Tilia cordata,2019-08-15 09:00:00,3.51238133900121,3.88922608952607,0.301238634003609,3.441586517210437
36465,36466,218A0270,Tilia cordata,2019-08-15 10:00:00,3.62713556736108,1.04595828540259,0.301238634003615,3.4002009987904533
36466,36467,218A0270,Tilia cordata,2019-08-15 11:00:00,3.62713556736108,,,3.4023506925998075
36467,36468,218A0270,Tilia cordata,2019-08-15 12:00:00,3.64676971615458,0.909249717409355,0.922146576003135,3.493970572524835
