id;device;profile;timestamp_utc;Angle1;Angle2;Amplitude;Direction;
23402366;2645;9;2020-08-26 09:59:54.54;;;0;4;
23402365;2645;9;2020-08-26 09:59:53.53;0,5;0;;;
23402253;2642;9;2020-08-26 09:57:48.48;;;0;1;
23402247;2642;9;2020-08-26 09:57:44.44;0;0;;;
23401940;2649;9;2020-08-26 09:50:56.56;;;0;1;
23401925;2649;9;2020-08-26 09:50:44.44;;;0;2;
23401922;2649;9;2020-08-26 09:50:41.41;0;0;;;
23401903;2649;9;2020-08-26 09:50:14.14;0;0;;;
23401876;2643;9;2020-08-26 09:49:38.38;;;0;2;
23401870;2643;9;2020-08-26 09:49:33.33;0;0;;;
23401712;2646;9;2020-08-26 09:46:37.37;;;0,5;4;
23401710;2646;9;2020-08-26 09:46:34.34;0;0;;;
23401542;2643;9;2020-08-26 09:42:49.49;;;0;4;
23401496;2643;9;2020-08-26 09:41:50.50;0;0;;;
23401489;2647;9;2020-08-26 09:41:35.35;;;0;4;
23401487;2647;9;2020-08-26 09:41:31.31;0;0;;;
23401438;2643;9;2020-08-26 09:40:35.35;0;0;;;
23401405;2643;9;2020-08-26 09:39:35.35;0;0;;;
23401396;2648;9;2020-08-26 09:39:29.29;;;0;4;
23401391;2648;9;2020-08-26 09:39:23.23;;;0;4;
23401393;2648;9;2020-08-26 09:39:23.23;0;0;;;
23401385;2648;9;2020-08-26 09:39:20.20;0;0;;;
23401319;2648;9;2020-08-26 09:38:11.11;;;0;1;
23401287;2651;9;2020-08-26 09:37:44.44;;;0;2;
23401281;2651;9;2020-08-26 09:37:36.36;-7;0;;;
23401205;2648;9;2020-08-26 09:35:51.51;0;0;;;
23401022;2650;9;2020-08-26 09:31:55.55;;;0;4;
23401018;2650;9;2020-08-26 09:31:49.49;0;0;;;
23400938;2644;9;2020-08-26 09:30:07.07;;;0;1;
23400932;2644;9;2020-08-26 09:30:02.02;1,5;-14;;;
23400919;2645;9;2020-08-26 09:29:44.44;;;0;4;
23400867;2642;9;2020-08-26 09:28:36.36;;;0;4;
23400865;2642;9;2020-08-26 09:28:33.33;0;0;;;
23400501;2649;9;2020-08-26 09:20:49.49;;;0;4;
23400496;2649;9;2020-08-26 09:20:45.45;0;0;;;
23400417;2643;9;2020-08-26 09:19:02.02;;;0;4;
23400406;2643;9;2020-08-26 09:18:55.55;0;0;;;
23400350;2646;9;2020-08-26 09:17:53.53;;;0;4;
23400347;2646;9;2020-08-26 09:17:50.50;0;0;;;
23400032;2649;9;2020-08-26 09:12:04.04;;;0;1;
23400017;2647;9;2020-08-26 09:11:38.38;;;0;4;
23400015;2647;9;2020-08-26 09:11:34.34;0;0;;;
23399955;2649;9;2020-08-26 09:10:23.23;;;0;1;
23399905;2649;9;2020-08-26 09:09:11.11;;;0;1;
