index,Unnamed: 0,id,Species,time,inc,NDVIc,Flux,dinc,dinc_cum,growth_cum
43739,43740,218A0281,Acer platanoides,2019-10-10 22:00:00,5.51430094875387,-1.40090840038224,20.5113239416689,-0.3868590067533004,-3174.782150659768,3.5742057594633554
43740,43741,218A0281,Acer platanoides,2019-10-10 23:00:00,,,,-0.3868590067533004,-3175.169009666521,3.5746412897216286
43741,43742,218A0281,Acer platanoides,2019-10-11 00:00:00,5.47911001484292,-1.3965742885414,2.98235558152572,-0.42204994066424995,-3175.5910596071853,3.5751164383324996
43742,43743,218A0281,Acer platanoides,2019-10-11 01:00:00,5.28946294227389,-1.3965742885414,4.45991978723149,-0.6116970132332797,-3176.2027566204188,3.5758050937689965
43743,43744,218A0281,Acer platanoides,2019-10-11 02:00:00,,,,-0.6116970132332797,-3176.814453633652,3.5764937492054933
43744,43745,218A0281,Acer platanoides,2019-10-11 03:00:00,5.21334633389715,-1.39528530403083,5.28562689749262,-0.6878136216100197,-3177.5022672552623,3.5772680975831563
43745,43746,218A0281,Acer platanoides,2019-10-11 04:00:00,5.21632366305857,-1.39528530403083,4.45991978723149,-0.6848362924486002,-3178.1871035477106,3.5780390940498745
43746,43747,218A0281,Acer platanoides,2019-10-11 05:00:00,,,,-0.6848362924486002,-3178.871939840159,3.5788100905165927
43747,43748,218A0281,Acer platanoides,2019-10-11 06:00:00,5.26772733644674,-1.39528530403083,3.69276907119609,-0.6334326190604305,-3179.5053724592194,3.579523216144695
43748,43749,218A0281,Acer platanoides,2019-10-11 07:00:00,5.3713818309217,-1.39528530403083,4.45991978723149,-0.5297781245854702,-3180.035150583805,3.5801196463670766
43749,43750,218A0281,Acer platanoides,2019-10-11 08:00:00,,,,-0.5297781245854702,-3180.56492870839,3.580716076589458
43750,43751,218A0281,Acer platanoides,2019-10-11 09:00:00,5.24330759477722,-1.39528530403083,1.72828149624935,-0.65785236072995,-3181.22278106912,3.581456694239746
43751,43752,218A0281,Acer platanoides,2019-10-11 10:00:00,5.238642726628,-0.111413177669964,2.98235558152572,-0.6625172288791701,-3181.8852982979993,3.582202563651514
43752,43753,218A0281,Acer platanoides,2019-10-11 11:00:00,,,,-0.6625172288791701,-3182.5478155268784,3.5829484330632813
43753,43754,218A0281,Acer platanoides,2019-10-11 12:00:00,5.25941158204229,-0.31915052486081,4.45991978723149,-0.6417483734648801,-3183.1895639003433,3.583670920662025
43754,43755,218A0281,Acer platanoides,2019-10-11 13:00:00,5.14146134746442,-0.346996027156284,3.6927690711961,-0.7596986080427497,-3183.949262508386,3.584526197972866
43755,43756,218A0281,Acer platanoides,2019-10-11 14:00:00,,,,-0.7596986080427497,-3184.7089611164283,3.585381475283707
43756,43757,218A0281,Acer platanoides,2019-10-11 15:00:00,4.91756521421729,-0.385621799048056,1.72828149624935,-0.9835947412898802,-3185.692555857718,3.5864888174012015
43757,43758,218A0281,Acer platanoides,2019-10-11 16:00:00,4.7214737765259,-0.388386735974213,0.0,-1.17968617898127,-3186.8722420366994,3.587816921483681
43758,43759,218A0281,Acer platanoides,2019-10-11 17:00:00,,,,-1.17968617898127,-3188.0519282156806,3.5891450255661606
43759,43760,218A0281,Acer platanoides,2019-10-11 18:00:00,4.7065903591216,-0.347286478788875,0.293476547888658,-1.1945695963855698,-3189.246497812066,3.590489885568789
43760,43761,218A0281,Acer platanoides,2019-10-11 19:00:00,4.988710265404,-0.271823688565039,0.293476547888649,-0.9124496901031698,-3190.158947502169,3.5915171317805985
43761,43762,218A0281,Acer platanoides,2019-10-11 20:00:00,,,,-0.9124496901031698,-3191.0713971922723,3.5925443779924087
43762,43763,218A0281,Acer platanoides,2019-10-11 21:00:00,5.06424723676462,-1.41951711319039,2.32757577828732,-0.8369127187425498,-3191.908309911015,3.5934865838249808
43763,43764,218A0281,Acer platanoides,2019-10-11 22:00:00,5.11955107726337,-1.3909831381584,0.293476547888649,-0.7816088782437998,-3192.6899187892586,3.594366527966561
43764,43765,218A0281,Acer platanoides,2019-10-11 23:00:00,,,,-0.7816088782437998,-3193.4715276675024,3.5952464721081414
43765,43766,218A0281,Acer platanoides,2019-10-12 00:00:00,5.0535322421932,-1.39528530403083,1.15977075301254,-0.8476277133139698,-3194.3191553808165,3.596200741003152
43766,43767,218A0281,Acer platanoides,2019-10-12 01:00:00,5.1534433003917,-1.39528530403083,1.68968102807327,-0.7477166551154699,-3195.0668720359317,3.5970425288954653
43767,43768,218A0281,Acer platanoides,2019-10-12 02:00:00,,,,-0.7477166551154699,-3195.814588691047,3.597884316787779
43768,43769,218A0281,Acer platanoides,2019-10-12 03:00:00,5.02742258903602,,1.68968102807327,-0.8737373664711505,-3196.688326057518,3.5988679802264976
43769,43770,218A0281,Acer platanoides,2019-10-12 04:00:00,5.11517702779298,-1.39528530403083,1.68968102807327,-0.7859829277141905,-3197.4743089852323,3.5997528487225896
43770,43771,218A0281,Acer platanoides,2019-10-12 05:00:00,,,,-0.7859829277141905,-3198.2602919129463,3.6006377172186825
43771,43772,218A0281,Acer platanoides,2019-10-12 06:00:00,4.93971129629629,-1.39528530403083,2.27462970405042,-0.9614486592108804,-3199.221740572157,3.6017201270257506
43772,43773,218A0281,Acer platanoides,2019-10-12 07:00:00,4.80656529351332,-1.39528530403083,1.68968102807327,-1.0945946619938498,-3200.316335234151,3.6029524341131407
43773,43774,218A0281,Acer platanoides,2019-10-12 08:00:00,,,,-1.0945946619938498,-3201.4109298961453,3.604184741200531
43774,43775,218A0281,Acer platanoides,2019-10-12 09:00:00,4.89576945738833,-1.3909831381584,1.15977075301254,-1.0053904981188397,-3202.416320394264,3.605316621228311
43775,43776,218A0281,Acer platanoides,2019-10-12 10:00:00,4.82409845918382,-0.131049600079852,1.15977075301253,-1.07706149632335,-3203.4933818905874,3.6065291892788958
43776,43777,218A0281,Acer platanoides,2019-10-12 11:00:00,,,,-1.07706149632335,-3204.570443386911,3.60774175732948
43777,43778,218A0281,Acer platanoides,2019-10-12 12:00:00,4.62176209921259,-0.360064999697386,0.0,-1.2793978562945805,-3205.8498412432054,3.6091821179493926
43778,43779,218A0281,Acer platanoides,2019-10-12 13:00:00,4.57854337376558,-0.399630453300268,2.28835430407424e-18,-1.32261658174159,-3207.172457824947,3.6106711347006804
43779,43780,218A0281,Acer platanoides,2019-10-12 14:00:00,,,,-1.32261658174159,-3208.495074406688,3.6121601514519686
43780,43781,218A0281,Acer platanoides,2019-10-12 15:00:00,4.23740004501323,-0.380281764644709,0.688876431595637,-1.6637599104939405,-3210.158834317182,3.614033231232644
