№;Участок;Вид ;Класс возраста;Уровень антропогенной нагрузки на уровне участка;Уровень антропогенной нагрузки на уровне дерева;Иденткификатор устройства;Диаметр ствола,см;Обхват ствола на высоте 1,3м , см;Обхват ствола на высоте установки, см;Высота установки, м;Категория состояни дерева
150;MS-5;Salix alba;IV;Высокий;высокий;218A0184;44.882;141;125;3.5;2
151;MS-5;Salix alba;IV;Высокий;высокий;218A0194;42.654;134;131;3.5;2
152;MS-5;Salix alba;IV;Высокий;высокий;218A0200;38.197;120;103;3.6;2
153;MS-5;Salix alba;IV;Высокий;высокий;218A0216;49.975;157;139;3.57;2
154;MS-5;Salix alba;IV;Высокий;высокий;218A0267;37.242;117;93;3.5;3
155;MS-5;Salix alba;IV;Высокий;высокий;218A0274;61.752;194;106;3.5;2
156;MS-5;Salix alba;IV;Высокий;высокий;218A0290;38.834;122;98;3.45;2
157;MS-5;Salix alba;IV;Высокий;высокий;218A0299;45.200;142;126;3.5;2
158;MS-6;Acer platanoides;VI;Высокий;высокий;218A0262;34.696;109;106;3.35;1
159;MS-6;Acer platanoides;VI;Высокий;высокий;218A0281;45.837;144;107;3.22;4
160;MS-6;Acer platanoides;VI;Высокий;низкий;218A0077;35.651;112;108;3.84;2
161;MS-6;Acer platanoides;VI;Высокий;низкий;218A0193;47.746;150;151;3.66;1
162;MS-6;Acer platanoides;VI;Высокий;низкий;218A0212;33.741;106;105;3.4;3
163;MS-6;Acer platanoides;VI;Высокий;низкий;218A0255;34.377;108;102;3.76;2
164;MS-6;Betula pendula;IV;Высокий;низкий;218A0088;20.690;65;58;3.35;1
165;MS-6;Betula pendula;IV;Высокий;низкий;218A0104;21.645;68;53;3.4;1
166;MS-6;Betula pendula;IV;Высокий;низкий;218A0210;21.008;66;52;3.55;1
167;MS-6;Betula pendula;VI;Высокий;низкий;218A0285;23.873;75;60;3.35;1
168;MS-6;Larix decidua;IV;Высокий;низкий;218A0277;26.101;82;75;3.62;2
169;MS-6;Larix decidua;VI;Высокий;низкий;218A0138;40.744;128;113;3.85;2
170;MS-6;Larix sibirica;V;Высокий;низкий;218A0079;32.149;101;96;3.7;3
171;MS-6;Tilia cordata;III;Высокий;высокий;218A0270;25.146;79;34;3.74;3
172;MS-6;Tilia cordata;IV;Высокий;высокий;218A0111;28.011;88;80;4.07;3
173;MS-6;Tilia cordata;IV;Высокий;высокий;218A0153;35.332;111;97;3.75;2
174;MS-6;Tilia cordata;VI;Высокий;высокий;218A0121;37.879;119;100;3.56;1
175;MS-6;Tilia cordata;VI;Высокий;высокий;218A0186;40.425;127;109;3.6;3
176;MS-6;Tilia cordata;VI;Высокий;низкий;218A0248;37.879;119;100;3.5;2
177;MS-7;Acer fraxinifolium;IV;Высокий;высокий;218A0099;28.011;88;81;3.8;3
178;MS-7;Acer fraxinifolium;VI;Высокий;высокий;218A0001;27.693;87;84;3.49;2
179;MS-7;Acer fraxinifolium;VI;Высокий;высокий;218A0067;35.969;113;117;3.76;3
