id;leaves_quality ;crown_density;dry branches;asimmetry);crown_codominance;wounds;cracks;cavities;fungi;trunk_inclination;curvature;trunk_codominance;pruning;trunk_rot;trunk_cavities;outgrowthing;insects;epicormic_shoots;superficial_roots;raised_roots;winding_roots;roots_damages;asphalt
0226;3;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0231;2;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0246;1;2;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
0247;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0249;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0250;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0251;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0253;2;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0256;1;2;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
0257;1;2;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
0258;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0259;2;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0263;2;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0264;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0275;2;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0279;1;2;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
0282;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0287;2;2;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1
0289;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0291;2;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0293;3;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0298;1;2;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
0074;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1
0076;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;2;1;1;1;1;1
0098;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1
0125;1;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0127;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
0128;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1
0144;1;1;1;1;2;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0162;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0174;1;2;1;1;1;1;2;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1
0184;1;2;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1
0189;1;1;1;1;1;1;1;1;2;1;2;1;2;1;1;1;1;1;2;1;1;1;1
0194;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1
0200;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0216;1;2;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1
0227;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
0242;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0267;1;2;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;2;1;1;1;1
0274;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1
0290;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0299;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1
