"","Site","SiteIndex","Species","age_group_index","antrop_load","in_site_antrop_load","id","d","DBH","DTT","installation_height","VTA_score"
"96","RUDN","OL-1","Picea abies","IV","Medium","Low","218A0149",22.4408469759572,70.5,57,3.6,2
"97","RUDN","OL-1","Picea abies","IV","Medium","Low","218A0175",19.735212943395,62,52,3.5,2
"98","RUDN","OL-1","Picea abies","IV","Medium","Low","218A0238",23.8732414637843,75,72,3.5,2
"99","RUDN","OL-1","Picea abies","IV","Medium","Low","218A0245",20.3718327157626,64,54.5,3.5,2
"100","RUDN","OL-1","Picea abies","V","Medium","Low","218A0107",24.6690161792438,77.5,74,3.5,2
"101","RUDN","OL-1","Picea abies","V","Medium","Low","218A0192",24.5098612361519,77,70,3.5,1
"102","RUDN","OL-1","Picea abies","VI","Medium","Low","218A0119",26.5788754963465,83.5,74,3.5,2
"103","RUDN","OL-1","Picea abies","VI","Medium","Low","218A0198",26.4197205532546,83,75,3.5,2
"104","RUDN","OL-1","Pinus sylvestris","III","Medium","Low","218A0108",21.326762374314,67,59.5,3.6,2
"105","RUDN","OL-1","Pinus sylvestris","IV","Medium","Low","218A0114",26.7380304394384,84,67,3.5,2
"106","RUDN","OL-1","Pinus sylvestris","IV","Medium","Low","218A0115",30.2394391874601,95,85.5,3.5,3
"107","RUDN","OL-1","Pinus sylvestris","IV","Medium","Low","218A0122",30.2394391874601,95,82.5,3.64,2
"108","RUDN","OL-1","Pinus sylvestris","IV","Medium","Low","218A0123",32.1492985045629,101,97,3.5,2
"109","RUDN","OL-1","Pinus sylvestris","IV","Medium","Low","218A0129",23.2366216914167,73,65.5,3.6,2
"110","RUDN","OL-1","Pinus sylvestris","VI","Medium","Low","218A0110",27.6929600979898,87,72,3.5,2
"111","RUDN","OL-1","Pinus sylvestris","VI","Medium","Low","218A0118",27.6929600979898,87,69,3.6,3
"112","RUDN","OL-1","Pinus sylvestris","VI","Medium","Low","218A0135",27.6929600979898,87,86,3.5,2
"113","RUDN","OL-1","Populus tremula","III","Medium","High","218A0106",27.6929600979898,87,79,3.5,2
"114","RUDN","OL-1","Populus tremula","III","Medium","High","218A0109",23.8732414637843,75,69,3.5,2
"115","RUDN","OL-1","Populus tremula","III","Medium","High","218A0139",25.4647908947033,80,72,3.5,2
"116","RUDN","OL-1","Populus tremula","III","Medium","Low","218A0100",25.783100780887,81,72,3.5,1
"117","RUDN","OL-1","Populus tremula","III","Medium","Low","218A0102",28.6478897565412,90,65,3.5,1
"118","RUDN","OL-1","Populus tremula","III","Medium","Low","218A0137",27.374650211806,86,82,3.5,2
"119","RUDN","OL-1","Populus tremula","VI","Medium","Low","218A0124",58.8873289440013,185,141,0.36,1.5
"120","RUDN","OL-1","Tilia cordata","III","Medium","High","218A0060",26.1014106670708,82,68,3.5,1
"121","RUDN","OL-1","Tilia cordata","III","Medium","High","218A0064",21.9633821466816,69,48,3.4,3
"122","RUDN","OL-1","Tilia cordata","III","Medium","High","218A0080",24.1915513499681,76,54,3.5,2
"123","RUDN","OL-1","Tilia cordata","III","Medium","High","218A0084",20.0535228295788,63,50,3.2,2
"124","RUDN","OL-1","Tilia cordata","IV","Medium","High","218A0069",27.5338051548979,86.5,75,3.6,2
"125","RUDN","OL-1","Tilia cordata","IV","Medium","High","218A0090",28.3295798703574,89,75,3.4,2
"126","RUDN","OL-1","Tilia cordata","IV","Medium","High","218A0224",29.4436644720006,92.5,64,3.7,1
"127","RUDN","OL-1","Tilia cordata","IV","Medium","Low","218A0141",27.6929600979898,87,67,3.5,3
"128","RUDN","OL-1","Tilia cordata","IV","Medium","Low","218A0151",27.6929600979898,87,70,3.5,2
"129","TIMIRYAZEV","MS-7","Acer platanoides","III","Low","High","218A0250",16.5521140815571,52,48,3.5,3
"130","TIMIRYAZEV","MS-7","Acer platanoides","III","Low","Low","218A0120",17.8253536262923,56,51,3.5,3
"131","TIMIRYAZEV","MS-7","Acer platanoides","III","Low","Low","218A0249",18.7802832848437,59,52,3.5,2
"132","TIMIRYAZEV","MS-7","Acer platanoides","IV","Low","Low","218A0219",20.6901426019464,65,60,3.5,3
"133","TIMIRYAZEV","MS-7","Acer platanoides","VI","Low","High","218A0217",26.7380304394384,84,77,3.5,3
"134","TIMIRYAZEV","MS-7","Acer platanoides","VI","Low","Low","218A0061",30.2394391874601,95,90.5,3.5,3
"135","TIMIRYAZEV","MS-7","Acer platanoides","VI","Low","Low","218A0287",29.6028194150925,93,80,3.5,2
"136","TIMIRYAZEV","MS-7","Larix sibirica","V","Low","High","218A0082",33.422538049298,105,100,3.5,3
"137","TIMIRYAZEV","MS-7","Larix sibirica","V","Low","High","218A0116",24.9873260654276,78.5,77,3.9,2
"138","TIMIRYAZEV","MS-7","Larix sibirica","V","Low","High","218A0181",51.2478916755903,161,153,3.5,3
"139","TIMIRYAZEV","MS-7","Larix sibirica","V","Low","High","218A0258",35.4915523094927,111.5,102,3.5,3
"140","TIMIRYAZEV","MS-7","Larix sibirica","V","Low","Low","218A0145",29.4436644720006,92.5,82,3.5,3
"141","TIMIRYAZEV","MS-7","Larix sibirica","V","Low","Low","218A0158",28.0112699841736,88,67,3.45,4
"142","TIMIRYAZEV","MS-7","Larix sibirica","V","Low","Low","218A0163",24.1915513499681,76,76,3.7,3
"143","TIMIRYAZEV","MS-7","Larix sibirica","V","Low","Low","218A0172",34.3774677078494,108,102,3.5,3
"144","TIMIRYAZEV","MS-7","Larix sibirica","V","Low","Low","218A0183",28.966199642725,91,89,3.5,3
"145","TIMIRYAZEV","MS-7","Larix sibirica","V","Low","Low","218A0203",28.0112699841736,88,84,3.5,2
"146","TIMIRYAZEV","MS-7","Larix sibirica","V","Low","Low","218A0208",32.7859182769304,103,97,3.5,2
"147","TIMIRYAZEV","MS-7","Larix sibirica","V","Low","Low","218A0282",29.9211293012763,94,88,3.4,3
"148","TIMIRYAZEV","MS-7","Larix sibirica","VI","Low","High","218A0075",57.2957795130823,180,164,3.5,3
"149","TIMIRYAZEV","MS-7","Larix sibirica","VI","Low","High","218A0185",58.8873289440013,185,141,0.36,3
"150","TIMIRYAZEV","MS-7","Larix sibirica","VI","Low","High","218A0247",56.9774696268985,179,171,3.5,3
"151","TIMIRYAZEV","MS-7","Larix sibirica","VI","Low","High","218A0264",57.6140893992661,181,153.5,3.5,3
"152","TIMIRYAZEV","MS-7","Quercus robur","VI","Low","High","218A0143",62.0704278058392,195,155,3.5,2
"153","TIMIRYAZEV","MS-7","Quercus robur","VI","Low","High","218A0253",51.5662015617741,162,141,3.5,3
"154","TIMIRYAZEV","MS-7","Quercus robur","VI","Low","High","218A0275",55.3859201959796,174,157,3.5,2
"155","TIMIRYAZEV","MS-7","Quercus robur","VI","Low","Low","218A0063",42.0169049762604,132,115,3.5,3
"156","TIMIRYAZEV","MS-7","Quercus robur","VI","Low","Low","218A0096",52.8394411065093,166,141,3.5,2
"157","TIMIRYAZEV","MS-7","Quercus robur","VI","Low","Low","218A0195",54.749300423612,172,112,3.5,3
"158","TIMIRYAZEV","MS-7","Quercus robur","VI","Low","Low","218A0218",34.3774677078494,108,96.5,3.9,3
"159","TIMIRYAZEV","MS-7","Quercus robur","VI","Low","Low","218A0226",38.6746511713306,121.5,116,3.5,4
"160","TIMIRYAZEV","MS-7","Quercus robur","VI","Low","Low","218A0259",42.0169049762604,132,121,3.5,3
"161","TIMIRYAZEV","MS-7","Quercus robur","VI","Low","Low","218A0263",38.8338061144225,122,110.5,3.5,2
